game_id,game_date,game_time_utc,game_date_est,game_code,arena_name,arena_city,arena_state,home_team,away_team,home_score_sched,away_score_sched,espn_event_id,espn_game_name,espn_start,odds_provider_id,odds_provider_name,market_details,market_over_under_current,market_spread_current,market_home_ml_current,market_away_ml_current,market_home_spread_close,market_away_spread_close,market_home_spread_open,market_away_spread_open,market_total_close,market_total_open,market_total_current,market_home_ml_close,market_away_ml_close,market_home_implied_prob_close_raw,market_away_implied_prob_close_raw,market_home_implied_prob_close,market_away_implied_prob_close
0022500744,02/06/2026 00:00:00,2026-02-07 01:00:00+00:00,20260206,20260206/NOPMIN,Target Center,Minneapolis,MN,MIN,NOP,115,119,401810599,New Orleans Pelicans at Minnesota Timberwolves,2026-02-07T01:00Z,100,Draft Kings,MIN -8.5,237.5,-8.5,-345.0,275.0,-8.5,8.5,-11.5,11.5,237.5,235.5,237.5,-345.0,275.0,0.7752808988764045,0.26666666666666666,0.7440690150970525,0.2559309849029475
0022500745,02/06/2026 00:00:00,2026-02-07 03:00:00+00:00,20260206,20260206/MEMPOR,Moda Center,Portland,OR,POR,MEM,135,115,401810600,Memphis Grizzlies at Portland Trail Blazers,2026-02-07T03:00Z,100,Draft Kings,POR -8.5,235.5,-8.5,-290.0,235.0,-8.5,8.5,-6.5,6.5,235.5,234.5,235.5,-290.0,235.0,0.7435897435897436,0.29850746268656714,0.7135512302607419,0.28644876973925815
0022500746,02/06/2026 00:00:00,2026-02-07 03:00:00+00:00,20260206,20260206/LACSAC,Golden 1 Center,Sacramento,CA,SAC,LAC,111,114,401810601,LA Clippers at Sacramento Kings,2026-02-07T03:00Z,100,Draft Kings,LAC -3.5,221.5,3.5,140.0,-166.0,3.5,-3.5,3.5,-3.5,221.5,222.5,221.5,140.0,-166.0,0.4166666666666667,0.6240601503759399,0.4003612281757977,0.5996387718242023
0022500747,02/07/2026 00:00:00,2026-02-07 20:00:00+00:00,20260207,20260207/WASBKN,Barclays Center,Brooklyn,NY,BKN,WAS,127,113,401810602,Washington Wizards at Brooklyn Nets,2026-02-07T20:00Z,100,Draft Kings,BKN -8.5,216.5,-8.5,-298.0,240.0,-8.5,8.5,-4.5,4.5,216.5,220.5,216.5,-298.0,240.0,0.7487437185929648,0.29411764705882354,0.7179705215419501,0.2820294784580499
0022500748,02/07/2026 00:00:00,2026-02-07 20:30:00+00:00,20260207,20260207/HOUOKC,Paycom Center,Oklahoma City,OK,OKC,HOU,106,112,401810603,Houston Rockets at Oklahoma City Thunder,2026-02-07T20:30Z,100,Draft Kings,OKC -3.5,213.5,-3.5,-162.0,136.0,-3.5,3.5,-4.5,4.5,213.5,215.5,213.5,-162.0,136.0,0.6183206106870229,0.423728813559322,0.593369754159424,0.4066302458405761
0022500749,02/07/2026 00:00:00,2026-02-07 23:00:00+00:00,20260207,20260207/DALSAS,Frost Bank Center,San Antonio,TX,SAS,DAL,138,125,401810604,Dallas Mavericks at San Antonio Spurs,2026-02-07T23:00Z,100,Draft Kings,SA -11.5,234.5,-11.5,-455.0,350.0,-11.5,11.5,-11.5,11.5,234.5,230.5,234.5,-455.0,350.0,0.8198198198198198,0.2222222222222222,0.7867435158501441,0.2132564841498559
0022500750,02/07/2026 00:00:00,2026-02-08 00:00:00+00:00,20260207,20260207/UTAORL,Kia Center,Orlando,FL,ORL,UTA,120,117,401810605,Utah Jazz at Orlando Magic,2026-02-08T00:00Z,100,Draft Kings,ORL -7.5,234.5,-7.5,-278.0,225.0,-7.5,7.5,-9.5,9.5,234.5,235.5,234.5,-278.0,225.0,0.7354497354497355,0.3076923076923077,0.705033164260632,0.2949668357393679
0022500751,02/07/2026 00:00:00,2026-02-08 00:30:00+00:00,20260207,20260207/CHAATL,State Farm Arena,Atlanta,GA,ATL,CHA,119,126,401810606,Charlotte Hornets at Atlanta Hawks,2026-02-08T00:30Z,100,Draft Kings,CHA -1.5,232.5,1.5,105.0,-125.0,1.5,-1.5,2.5,-2.5,232.5,230.5,232.5,105.0,-125.0,0.4878048780487805,0.5555555555555556,0.4675324675324675,0.5324675324675325
0022500752,02/07/2026 00:00:00,2026-02-08 01:00:00+00:00,20260207,20260207/DENCHI,United Center,Chicago,IL,CHI,DEN,120,136,401810607,Denver Nuggets at Chicago Bulls,2026-02-08T01:00Z,100,Draft Kings,DEN -9.5,235.5,9.5,275.0,-345.0,9.5,-9.5,4.5,-4.5,235.5,229.5,235.5,275.0,-345.0,0.26666666666666666,0.7752808988764045,0.2559309849029475,0.7440690150970525
0022500753,02/07/2026 00:00:00,2026-02-08 01:30:00+00:00,20260207,20260207/GSWLAL,Crypto.com Arena,Los Angeles,CA,LAL,GSW,105,99,401810608,Golden State Warriors at Los Angeles Lakers,2026-02-08T01:30Z,100,Draft Kings,LAL -1.5,220.5,-1.5,-130.0,110.0,-1.5,1.5,-2.5,2.5,220.5,225.5,220.5,-130.0,110.0,0.5652173913043478,0.47619047619047616,0.5427435387673957,0.4572564612326044
0022500754,02/07/2026 00:00:00,2026-02-08 02:00:00+00:00,20260207,20260207/PHIPHX,Mortgage Matchup Center,Phoenix,AZ,PHX,PHI,103,109,401810609,Philadelphia 76ers at Phoenix Suns,2026-02-08T02:00Z,100,Draft Kings,PHX -2.5,224.5,-2.5,-135.0,114.0,-2.5,2.5,-1.5,1.5,224.5,221.5,224.5,-135.0,114.0,0.574468085106383,0.4672897196261682,0.551441114716549,0.448558885283451
0022500755,02/07/2026 00:00:00,2026-02-08 03:00:00+00:00,20260207,20260207/MEMPOR,Moda Center,Portland,OR,POR,MEM,122,115,401810610,Memphis Grizzlies at Portland Trail Blazers,2026-02-08T03:00Z,100,Draft Kings,POR -9.5,228.5,-9.5,-340.0,270.0,-9.5,9.5,-9.5,9.5,228.5,237.5,228.5,-340.0,270.0,0.7727272727272727,0.2702702702702703,0.740871613663133,0.2591283863368669
